product_id,product_name,category,brand,price,rating,description
1,Wireless Headphones,Electronics,SonicX,26.99,4.1,Wireless Headphones from SonicX for electronics use with quality design and reliable performance.
2,Bluetooth Speaker,Electronics,VoltEdge,59.06,3.9,Bluetooth Speaker from VoltEdge for electronics use with quality design and reliable performance.
3,Smart Watch,Electronics,SoundBeat,44.33,4.2,Smart Watch from SoundBeat for electronics use with quality design and reliable performance.
4,Tablet Stand,Electronics,SonicX,46.22,4.0,Tablet Stand from SonicX for electronics use with quality design and reliable performance.
5,USB-C Charger,Electronics,SoundBeat,27.42,4.0,USB-C Charger from SoundBeat for electronics use with quality design and reliable performance.
6,Power Bank,Electronics,SoundBeat,137.46,4.2,Power Bank from SoundBeat for electronics use with quality design and reliable performance.
7,Wireless Mouse,Electronics,TechNova,246.63,3.8,Wireless Mouse from TechNova for electronics use with quality design and reliable performance.
8,Mechanical Keyboard,Electronics,VoltEdge,215.47,4.1,Mechanical Keyboard from VoltEdge for electronics use with quality design and reliable performance.
9,Webcam,Electronics,VoltEdge,80.28,4.6,Webcam from VoltEdge for electronics use with quality design and reliable performance.
10,Portable SSD,Electronics,SonicX,45.96,3.9,Portable SSD from SonicX for electronics use with quality design and reliable performance.
11,Gaming Mouse,Electronics,TechNova,189.03,4.6,Gaming Mouse from TechNova for electronics use with quality design and reliable performance.
12,Monitor Light Bar,Electronics,PixelWare,170.13,4.8,Monitor Light Bar from PixelWare for electronics use with quality design and reliable performance.
13,Laptop Sleeve,Electronics,PixelWare,42.05,4.1,Laptop Sleeve from PixelWare for electronics use with quality design and reliable performance.
14,Action Camera,Electronics,SoundBeat,267.92,4.2,Action Camera from SoundBeat for electronics use with quality design and reliable performance.
15,Smart Plug,Electronics,VoltEdge,217.27,3.8,Smart Plug from VoltEdge for electronics use with quality design and reliable performance.
16,Noise Cancelling Earbuds,Electronics,VoltEdge,236.45,4.8,Noise Cancelling Earbuds from VoltEdge for electronics use with quality design and reliable performance.
17,Phone Gimbal,Electronics,VoltEdge,262.61,4.2,Phone Gimbal from VoltEdge for electronics use with quality design and reliable performance.
18,Fitness Tracker,Electronics,PixelWare,197.98,4.2,Fitness Tracker from PixelWare for electronics use with quality design and reliable performance.
19,Portable Monitor,Electronics,TechNova,119.47,4.5,Portable Monitor from TechNova for electronics use with quality design and reliable performance.
20,Streaming Mic,Electronics,SonicX,190.55,4.0,Streaming Mic from SonicX for electronics use with quality design and reliable performance.
21,Mini Projector,Electronics,VoltEdge,65.74,4.2,Mini Projector from VoltEdge for electronics use with quality design and reliable performance.
22,VR Headset,Electronics,SoundBeat,81.48,4.1,VR Headset from SoundBeat for electronics use with quality design and reliable performance.
23,WiFi Router,Electronics,SonicX,84.12,3.8,WiFi Router from SonicX for electronics use with quality design and reliable performance.
24,Dash Camera,Electronics,TechNova,132.32,3.9,Dash Camera from TechNova for electronics use with quality design and reliable performance.
25,E-Reader,Electronics,SoundBeat,265.37,4.1,E-Reader from SoundBeat for electronics use with quality design and reliable performance.
26,Running Shoes,Fashion,StyleNest,71.15,4.7,Running Shoes from StyleNest for fashion use with quality design and reliable performance.
27,Hoodie,Fashion,StyleNest,33.99,3.9,Hoodie from StyleNest for fashion use with quality design and reliable performance.
28,Backpack,Fashion,ComfyWear,92.22,4.5,Backpack from ComfyWear for fashion use with quality design and reliable performance.
29,Denim Jacket,Fashion,StyleNest,144.97,4.2,Denim Jacket from StyleNest for fashion use with quality design and reliable performance.
30,Casual T-Shirt,Fashion,RunFast,159.6,3.9,Casual T-Shirt from RunFast for fashion use with quality design and reliable performance.
31,Jogger Pants,Fashion,StyleNest,26.35,3.8,Jogger Pants from StyleNest for fashion use with quality design and reliable performance.
32,Sneakers,Fashion,UrbanFit,35.46,4.0,Sneakers from UrbanFit for fashion use with quality design and reliable performance.
33,Crossbody Bag,Fashion,StyleNest,100.66,4.2,Crossbody Bag from StyleNest for fashion use with quality design and reliable performance.
34,Baseball Cap,Fashion,ComfyWear,159.42,4.3,Baseball Cap from ComfyWear for fashion use with quality design and reliable performance.
35,Winter Scarf,Fashion,ComfyWear,139.52,3.8,Winter Scarf from ComfyWear for fashion use with quality design and reliable performance.
36,Leather Belt,Fashion,UrbanFit,113.2,4.3,Leather Belt from UrbanFit for fashion use with quality design and reliable performance.
37,Sunglasses,Fashion,TrailCarry,125.97,4.1,Sunglasses from TrailCarry for fashion use with quality design and reliable performance.
38,Polo Shirt,Fashion,TrailCarry,76.9,4.3,Polo Shirt from TrailCarry for fashion use with quality design and reliable performance.
39,Formal Shirt,Fashion,TrailCarry,155.86,4.6,Formal Shirt from TrailCarry for fashion use with quality design and reliable performance.
40,Travel Duffel,Fashion,ComfyWear,147.15,4.7,Travel Duffel from ComfyWear for fashion use with quality design and reliable performance.
41,Ankle Boots,Fashion,TrailCarry,136.72,4.3,Ankle Boots from TrailCarry for fashion use with quality design and reliable performance.
42,Yoga Leggings,Fashion,RunFast,35.46,4.6,Yoga Leggings from RunFast for fashion use with quality design and reliable performance.
43,Rain Jacket,Fashion,ComfyWear,153.15,4.7,Rain Jacket from ComfyWear for fashion use with quality design and reliable performance.
44,Beanie,Fashion,UrbanFit,101.03,4.3,Beanie from UrbanFit for fashion use with quality design and reliable performance.
45,Sports Socks,Fashion,UrbanFit,149.57,4.7,Sports Socks from UrbanFit for fashion use with quality design and reliable performance.
46,Graphic Tee,Fashion,TrailCarry,48.19,4.0,Graphic Tee from TrailCarry for fashion use with quality design and reliable performance.
47,Cargo Shorts,Fashion,ComfyWear,152.19,3.9,Cargo Shorts from ComfyWear for fashion use with quality design and reliable performance.
48,Laptop Backpack,Fashion,StyleNest,132.95,4.8,Laptop Backpack from StyleNest for fashion use with quality design and reliable performance.
49,Pullover Sweater,Fashion,ComfyWear,125.57,3.9,Pullover Sweater from ComfyWear for fashion use with quality design and reliable performance.
50,Watch Strap,Fashion,StyleNest,152.18,4.0,Watch Strap from StyleNest for fashion use with quality design and reliable performance.
51,Coffee Maker,Home,CozyNest,220.01,4.2,Coffee Maker from CozyNest for home use with quality design and reliable performance.
52,Air Fryer,Home,CrispChef,233.28,4.6,Air Fryer from CrispChef for home use with quality design and reliable performance.
53,Desk Lamp,Home,CrispChef,182.53,4.2,Desk Lamp from CrispChef for home use with quality design and reliable performance.
54,Vacuum Cleaner,Home,BrightLite,117.94,4.3,Vacuum Cleaner from BrightLite for home use with quality design and reliable performance.
55,Electric Kettle,Home,BrewMaster,73.25,3.9,Electric Kettle from BrewMaster for home use with quality design and reliable performance.
56,Rice Cooker,Home,BrewMaster,153.24,4.0,Rice Cooker from BrewMaster for home use with quality design and reliable performance.
57,Blender,Home,CrispChef,16.68,4.5,Blender from CrispChef for home use with quality design and reliable performance.
58,Wall Clock,Home,BrewMaster,68.79,4.7,Wall Clock from BrewMaster for home use with quality design and reliable performance.
59,Storage Organizer,Home,BrightLite,31.64,4.0,Storage Organizer from BrightLite for home use with quality design and reliable performance.
60,Bedside Lamp,Home,HomeEase,65.34,3.9,Bedside Lamp from HomeEase for home use with quality design and reliable performance.
61,Cutlery Set,Home,CozyNest,150.4,4.0,Cutlery Set from CozyNest for home use with quality design and reliable performance.
62,Cookware Pan,Home,HomeEase,204.75,4.0,Cookware Pan from HomeEase for home use with quality design and reliable performance.
63,Water Filter,Home,BrewMaster,169.85,4.2,Water Filter from BrewMaster for home use with quality design and reliable performance.
64,Humidifier,Home,HomeEase,124.74,4.5,Humidifier from HomeEase for home use with quality design and reliable performance.
65,Floor Mat,Home,BrewMaster,29.23,4.5,Floor Mat from BrewMaster for home use with quality design and reliable performance.
66,Table Fan,Home,BrewMaster,73.42,4.0,Table Fan from BrewMaster for home use with quality design and reliable performance.
67,Aroma Diffuser,Home,HomeEase,47.93,4.0,Aroma Diffuser from HomeEase for home use with quality design and reliable performance.
68,Laundry Basket,Home,HomeEase,73.69,4.7,Laundry Basket from HomeEase for home use with quality design and reliable performance.
69,Shoe Rack,Home,HomeEase,204.88,4.7,Shoe Rack from HomeEase for home use with quality design and reliable performance.
70,Curtain Set,Home,BrewMaster,26.88,4.8,Curtain Set from BrewMaster for home use with quality design and reliable performance.
71,Bookshelf,Home,BrewMaster,242.7,4.7,Bookshelf from BrewMaster for home use with quality design and reliable performance.
72,Kitchen Knife Set,Home,CrispChef,54.07,4.3,Kitchen Knife Set from CrispChef for home use with quality design and reliable performance.
73,Toaster,Home,CrispChef,218.18,4.7,Toaster from CrispChef for home use with quality design and reliable performance.
74,Bathroom Shelf,Home,CrispChef,104.05,4.8,Bathroom Shelf from CrispChef for home use with quality design and reliable performance.
75,Nonstick Pot,Home,BrightLite,232.72,4.6,Nonstick Pot from BrightLite for home use with quality design and reliable performance.
76,Notebook Pack,Office,TypePro,132.66,4.8,Notebook Pack from TypePro for office use with quality design and reliable performance.
77,Office Chair,Office,WorkEase,201.93,4.3,Office Chair from WorkEase for office use with quality design and reliable performance.
78,Mechanical Keyboard,Office,ErgoSit,96.04,4.8,Mechanical Keyboard from ErgoSit for office use with quality design and reliable performance.
79,Desk Organizer,Office,WorkEase,223.35,3.9,Desk Organizer from WorkEase for office use with quality design and reliable performance.
80,Printer Stand,Office,TypePro,26.57,4.4,Printer Stand from TypePro for office use with quality design and reliable performance.
81,Monitor Riser,Office,WorkEase,276.61,4.3,Monitor Riser from WorkEase for office use with quality design and reliable performance.
82,Planner Book,Office,WriteWell,288.62,3.9,Planner Book from WriteWell for office use with quality design and reliable performance.
83,Gel Pen Set,Office,ErgoSit,29.86,3.9,Gel Pen Set from ErgoSit for office use with quality design and reliable performance.
84,Whiteboard,Office,ErgoSit,127.08,4.7,Whiteboard from ErgoSit for office use with quality design and reliable performance.
85,Document Tray,Office,WorkEase,81.39,4.4,Document Tray from WorkEase for office use with quality design and reliable performance.
86,Stapler,Office,WorkEase,33.77,4.5,Stapler from WorkEase for office use with quality design and reliable performance.
87,Desk Pad,Office,WorkEase,161.6,4.7,Desk Pad from WorkEase for office use with quality design and reliable performance.
88,Laptop Stand,Office,ErgoSit,204.21,4.1,Laptop Stand from ErgoSit for office use with quality design and reliable performance.
89,Wireless Presenter,Office,TypePro,124.77,4.5,Wireless Presenter from TypePro for office use with quality design and reliable performance.
90,USB Hub,Office,TypePro,142.59,4.7,USB Hub from TypePro for office use with quality design and reliable performance.
91,Conference Speaker,Office,WriteWell,12.69,4.4,Conference Speaker from WriteWell for office use with quality design and reliable performance.
92,Filing Cabinet,Office,WorkEase,298.86,3.9,Filing Cabinet from WorkEase for office use with quality design and reliable performance.
93,Task Lamp,Office,ErgoSit,156.7,3.9,Task Lamp from ErgoSit for office use with quality design and reliable performance.
94,Paper Shredder,Office,TypePro,265.44,4.7,Paper Shredder from TypePro for office use with quality design and reliable performance.
95,Label Maker,Office,TypePro,92.64,4.2,Label Maker from TypePro for office use with quality design and reliable performance.
96,Sticky Notes Set,Office,WorkEase,214.02,4.4,Sticky Notes Set from WorkEase for office use with quality design and reliable performance.
97,Mouse Pad,Office,WorkEase,12.26,4.6,Mouse Pad from WorkEase for office use with quality design and reliable performance.
98,Cable Organizer,Office,TypePro,280.2,3.9,Cable Organizer from TypePro for office use with quality design and reliable performance.
99,Standing Desk Converter,Office,ErgoSit,86.69,4.7,Standing Desk Converter from ErgoSit for office use with quality design and reliable performance.
100,Calendar Board,Office,WorkEase,55.07,4.1,Calendar Board from WorkEase for office use with quality design and reliable performance.
